title,company,location,salary,date_posted,job_link,source
Mandarin Chinese Teacher (26/27 SY - POOL),International Leadership of Texas,"Arlington, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-26-27-sy-pool-at-international-leadership-of-texas-4454768100?position=1&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=%2FvI3TDnIlIhfcclfaGeBEA%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4463878224?position=2&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=er9q5wJZbtFDZQU3mmZqKQ%3D%3D,LinkedIn
Chinese Language Instructor,Leidos,"Vienna, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-at-leidos-4465555570?position=3&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=xwa%2Bh0NWo5aZTe9406WFsw%3D%3D,LinkedIn
Chinese Teacher (PreK-8th Grade Roles),St. Louis Language Immersion School (SLLIS),"St Louis, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-prek-8th-grade-roles-at-st-louis-language-immersion-school-sllis-4464774451?position=4&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=UU8hiVUfUOwbEYeOAUwE1w%3D%3D,LinkedIn
Chinese Language Instructor,Leidos,"Chantilly, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-at-leidos-4465963031?position=5&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=j%2FBnwAK%2Fdev%2FaF%2FhDeAv0A%3D%3D,LinkedIn
Mandarin Instructor (2026-0214),Acclaim Technical Services,"Reston, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-instructor-2026-0214-at-acclaim-technical-services-4467927842?position=6&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=mITqQRENO%2FuCsP8%2BiRq85w%3D%3D,LinkedIn
Lead Preschool Teacher (Chinese),Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lead-preschool-teacher-chinese-at-purple-magpie-mandarin-4464175963?position=7&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=2oQtDWIEtcxxMkesD4%2BrLg%3D%3D,LinkedIn
Lead Preschool Teacher (Chinese),Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lead-preschool-teacher-chinese-at-purple-magpie-mandarin-4464801774?position=9&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=YQMG7oQy0DsY6gJee712LQ%3D%3D,LinkedIn
21_22 Chinese Virtual Teacher,"Proximity Learning, Inc.","Austin, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/21-22-chinese-virtual-teacher-at-proximity-learning-inc-4467252229?position=13&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=1BiM%2BnZimVFnNBxyxLHTmA%3D%3D,LinkedIn
Mandarin Chinese 3 Tutor,"Varsity Tutors, a Nerdy Company",United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-3-tutor-at-varsity-tutors-a-nerdy-company-4467449200?position=29&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=DQLl07YEUiF3ZLyAPCzkcg%3D%3D,LinkedIn
"Mandarin-speaking English Language Teacher (ESL) in McKees Rocks, PA","Global LT, Inc.","McKees Rocks, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-speaking-english-language-teacher-esl-in-mckees-rocks-pa-at-global-lt-inc-4465578894?position=35&pageNum=0&refId=5tt8ijn0Hy16s7OJLB6zWw%3D%3D&trackingId=u2E7LYUUxRl8bWfyD13qTQ%3D%3D,LinkedIn
