title,company,location,salary,date_posted,job_link,source
Chinese and English Single Teacher DLI Posting,Granite School District,"Salt Lake City, UT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-and-english-single-teacher-dli-posting-at-granite-school-district-4397179440?position=11&pageNum=0&refId=L86ukvfXVgqm%2FAVqIZFIXg%3D%3D&trackingId=1qhAuS3W%2FRQDBzriD8S48w%3D%3D,LinkedIn
Kindergarten Chinese Lead Teacher,Chinese American International School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/kindergarten-chinese-lead-teacher-at-chinese-american-international-school-4395876388?position=19&pageNum=0&refId=L86ukvfXVgqm%2FAVqIZFIXg%3D%3D&trackingId=%2B15vosTGqPSJcNQEnE%2B2Pg%3D%3D,LinkedIn
Mandarin Teacher,Fusion Academy,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-fusion-academy-4386483819?position=20&pageNum=0&refId=L86ukvfXVgqm%2FAVqIZFIXg%3D%3D&trackingId=zsmTG53E9mqiZJJ79GokKg%3D%3D,LinkedIn
Preschool Chinese Lead Teacher,Chinese American International School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/preschool-chinese-lead-teacher-at-chinese-american-international-school-4395865988?position=21&pageNum=0&refId=L86ukvfXVgqm%2FAVqIZFIXg%3D%3D&trackingId=K9%2B3Iw63Y56%2FEFbX%2BY84dQ%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4392199445?position=35&pageNum=0&refId=L86ukvfXVgqm%2FAVqIZFIXg%3D%3D&trackingId=Q%2FfqRxfzo5BDugbm95JFMw%3D%3D,LinkedIn
