title,company,location,salary,date_posted,job_link,source
Middle School Mandarin Chinese Long-Term Sub Teacher,Lakeside School,"Seattle, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-mandarin-chinese-long-term-sub-teacher-at-lakeside-school-4368289063?position=3&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=kR0RlA2naeAN8FgCWz08EA%3D%3D,LinkedIn
Mandarin Chinese teacher,Chicago Mandarin Chinese Center,"Chicago, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-chicago-mandarin-chinese-center-4370092397?position=6&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=CW7efO7Y4077mj0abFG%2BfA%3D%3D,LinkedIn
Lower or Upper School Mandarin Teacher,"Carney, Sandoe & Associates",San Francisco Bay Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lower-or-upper-school-mandarin-teacher-at-carney-sandoe-associates-4368293099?position=10&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=rKdQNK%2FxVzr%2FJJEUw4wZsg%3D%3D,LinkedIn
Mandarin Teacher,BASIS Independent Schools,"Dublin, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-basis-independent-schools-4351869738?position=14&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=CSkn%2BHcLkWenuXHEnrM%2B1g%3D%3D,LinkedIn
Preschool Mandarin Teacher,Crossing Borders International School,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/preschool-mandarin-teacher-at-crossing-borders-international-school-4368252561?position=21&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=3tdHndW7wxxAugaAQuPQ7g%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4368095721?position=27&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=ZTNeWTyBzR2gAw6F4OG2Hw%3D%3D,LinkedIn
Mandarin ESL Teacher,Creative Learning Center,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-esl-teacher-at-creative-learning-center-4369436233?position=40&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=4FkKqk6AFCgR4gi2FwTwnw%3D%3D,LinkedIn
"World Languages Teacher - High School (Grades 9-12 - French, Spanish, Korean, ASL, Arabic, Mandarin )",Granada Hills Charter,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/world-languages-teacher-high-school-grades-9-12-french-spanish-korean-asl-arabic-mandarin-at-granada-hills-charter-4370151027?position=43&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=wALklr%2F7JIYTh6gM9FUzUA%3D%3D,LinkedIn
2026/2027 - Mandarin Immersion Teachers & Interns,Fremont Unified School District,"Fremont, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-2027-mandarin-immersion-teachers-interns-at-fremont-unified-school-district-4370867472?position=54&pageNum=0&refId=knvREzdNKXBM4pPsnIx%2Few%3D%3D&trackingId=05VZeS7zfZG3k9kIQCgOOg%3D%3D,LinkedIn
