title,company,location,salary,date_posted,job_link,source
Language Instructor - Chinese Mandarin,Cherokee Federal,"Wahiawa, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-instructor-chinese-mandarin-at-cherokee-federal-4289410785?position=1&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=ltuqtIH40n50KlAbDOKqcA%3D%3D,LinkedIn
Chinese Language Teacher,Renaissance Academy,"Lehi, UT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-at-renaissance-academy-4290086906?position=2&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=1ouwjlTUCJrJ8nnVgCp0gg%3D%3D,LinkedIn
Mandarin Chinese Language Teacher needed - ID1065030,Language Trainers,"Boston, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-teacher-needed-id1065030-at-language-trainers-4289295223?position=3&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=vnpcwV%2FjYtKojKer5ko1EQ%3D%3D,LinkedIn
Chinese Language Teacher,Mercor,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-at-mercor-4291690245?position=4&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=5JqYrplgHEwWmnX4lwbrmg%3D%3D,LinkedIn
Chinese Teacher,Yu Ming Charter School,"Oakland, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-at-yu-ming-charter-school-4284203113?position=5&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=4Tps81sYUT2WnJMsu5E27Q%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Lancaster, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4271325629?position=9&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=anGyc6L3to5zZfp77CuGjQ%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4291608723?position=10&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=YznYumL5xTwi%2BmW74I6hLg%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4288227968?position=11&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=kJL9ABw18c869RRWFPSGRw%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4291020591?position=12&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=lnDNsTVgMq%2FewUuxonKupQ%3D%3D,LinkedIn
Language teacher - Business Chinese | ID1063412,Language Trainers,"St Louis, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-teacher-business-chinese-id1063412-at-language-trainers-4288734277?position=13&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=dgMOsFfMe%2BfgktLQ9AGT8A%3D%3D,LinkedIn
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4291031106?position=15&pageNum=0&refId=KY5aTP52JPF%2FVKnOoQY6%2FQ%3D%3D&trackingId=DtBQciqPEyTjmEIZmSSTdw%3D%3D,LinkedIn
