title,company,location,salary,date_posted,job_link,source
Upper School Advanced Chinese Language Teacher,Mounds Park Academy,"Minneapolis–Saint Paul, WI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-advanced-chinese-language-teacher-at-mounds-park-academy-4201329174?position=1&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=%2FTYhNJFc7MHT%2Br8M5VOtPw%3D%3D,LinkedIn
Mandarin Chinese Teacher (0.4 FTE),Arlington Public Schools (MA),"Arlington, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-0-4-fte-at-arlington-public-schools-ma-4196847454?position=2&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=8LOxnvmkTF90fodl3S7H2Q%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Grand Prairie, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4196400585?position=4&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=Z6l8RkaAcPHRUlzW41rBQg%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4203543973?position=10&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=wmmHeXbNZGWhObVq7FToPw%3D%3D,LinkedIn
Mandarin Teacher,Fusion Academy,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-fusion-academy-4114650097?position=11&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=1Fo90n9fIpkW1z8nI6j0hA%3D%3D,LinkedIn
K-5th Mandarin Teacher,BASIS Ed,"San Antonio, Texas Metropolitan Area",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/k-5th-mandarin-teacher-at-basis-ed-4199964508?position=13&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=zC1rptWfbXLmzqYLGNJ4rg%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4198017283?position=15&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=NByhuc3rK%2BXqcCBGOR4Xpg%3D%3D,LinkedIn
World Languages Teacher - Chinese,Half Hollow Hills Central School District,"Huntington Station, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/world-languages-teacher-chinese-at-half-hollow-hills-central-school-district-4198878944?position=25&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=RkHk7QBzxPjigGqNP5bYIQ%3D%3D,LinkedIn
25-26 - Memorial - Chinese (Mandarin) Teacher - 0.4 FTE (16),Madison Metropolitan School District,"Madison, WI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/25-26-memorial-chinese-mandarin-teacher-0-4-fte-16-at-madison-metropolitan-school-district-4200514611?position=27&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=TtEFKIOdZb%2BAOyOMY%2FbkuA%3D%3D,LinkedIn
K-5th Mandarin Teacher,BASIS Ed,"San Antonio, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/k-5th-mandarin-teacher-at-basis-ed-4196486463?position=29&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=QiVgJJJ0%2B%2BLzU9nX1sE7gw%3D%3D,LinkedIn
ID 6320 - Second Grade Chinese Immersion Teacher - 1.0 FTE for 191 days,Lake Oswego Senior High School,"Lake Oswego, OR",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/id-6320-second-grade-chinese-immersion-teacher-1-0-fte-for-191-days-at-lake-oswego-senior-high-school-4200290305?position=30&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=lX3cKpCvrH1dGUHrg1KqGA%3D%3D,LinkedIn
Middle School Mandarin Teacher,Synapse School,"Menlo Park, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-mandarin-teacher-at-synapse-school-4199903780?position=39&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=hC9E7z3Dfk7c%2FYA%2BZcMOtg%3D%3D,LinkedIn
Mandarin Elementary Homeroom Teachers,Presidio Knolls School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-homeroom-teachers-at-presidio-knolls-school-4198313134?position=57&pageNum=0&refId=HvjQ1mNSCmuWuOKzebmHOg%3D%3D&trackingId=KiXOqC5QBFgT4sRgLoEAKw%3D%3D,LinkedIn
