title,company,location,salary,date_posted,job_link,source
Chinese Language Teacher (Remote),Get Offers,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-remote-at-get-offers-4377805324?position=6&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=UBKVCsI1tF02Ei6ycEY69A%3D%3D,LinkedIn
Mandarin Teacher for Grades 3-8th,Alexander Dawson School at Rainbow Mountain,"Dawson, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-for-grades-3-8th-at-alexander-dawson-school-at-rainbow-mountain-4376950048?position=10&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=Cb%2Fm0E2YnkpzL6ontuftzg%3D%3D,LinkedIn
Chinese teacher Assistant,Chia Seed Learning Center,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-assistant-at-chia-seed-learning-center-4374641708?position=12&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=HdL3y9W6iG59exAn9956%2Fw%3D%3D,LinkedIn
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4376578734?position=21&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=gqXYvetIWa9wjxrivyPqug%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4377818015?position=35&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=OMvVUIo0VB%2FQ0DgE2tB4Nw%3D%3D,LinkedIn
Middle School Mandarin Language Arts and Social Studies Teacher,A Hiring Company,"Denver, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-mandarin-language-arts-and-social-studies-teacher-at-a-hiring-company-4376892347?position=39&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=tMkxoD5PMkGqCKhoEyRcuw%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4376729483?position=52&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=lnKXGATov7m38UWNrHmUOQ%3D%3D,LinkedIn
Elementary Mandarin Teacher,Spring Education Group,"Dublin, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/elementary-mandarin-teacher-at-spring-education-group-4376182468?position=59&pageNum=0&refId=ZgZVj%2BI6588ewX%2Be7k5ZFg%3D%3D&trackingId=6lCyS7IZZIDW%2F9%2FHbSBZ1Q%3D%3D,LinkedIn
