title,company,location,salary,date_posted,job_link,source
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4291031106?position=27&pageNum=0&refId=Jb%2Bj%2Fxe%2BQH3VY6Ij5boKzQ%3D%3D&trackingId=fUjlPaqXLVNI2TRT6ppK4w%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4290412641?position=36&pageNum=0&refId=Jb%2Bj%2Fxe%2BQH3VY6Ij5boKzQ%3D%3D&trackingId=hmes0JBJZ9F2uJMGpK25WA%3D%3D,LinkedIn
Chinese Language Teacher,Renaissance Academy,"Lehi, UT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-at-renaissance-academy-4290086906?position=45&pageNum=0&refId=Jb%2Bj%2Fxe%2BQH3VY6Ij5boKzQ%3D%3D&trackingId=4911lVMQT%2BNBXvGwig5PWg%3D%3D,LinkedIn
Toddler & Primary Assistant Mandarin or Spanish Teacher,Acquire4Hire,"Phoenix, AZ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/toddler-primary-assistant-mandarin-or-spanish-teacher-at-acquire4hire-4290694683?position=47&pageNum=0&refId=Jb%2Bj%2Fxe%2BQH3VY6Ij5boKzQ%3D%3D&trackingId=Qr%2BTwOWtN1rcrwzeoqnDqA%3D%3D,LinkedIn
Mandarin Teacher,The Learning Experience`,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-the-learning-experience-4290731055?position=49&pageNum=0&refId=Jb%2Bj%2Fxe%2BQH3VY6Ij5boKzQ%3D%3D&trackingId=%2Fr0AI8WKj8ltuYJtTrvO%2BQ%3D%3D,LinkedIn
