title,company,location,salary,date_posted,job_link,source
Full-Time Lead Toddler and Pre-K Native Chinese Teacher,The Quadrilingual Academy,"Smyrna, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/full-time-lead-toddler-and-pre-k-native-chinese-teacher-at-the-quadrilingual-academy-4316517927?position=5&pageNum=0&refId=Dry3jDmhugynDoyuekeN5w%3D%3D&trackingId=geAkyeaAe%2Bhhk60VBGhaTQ%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4316352388?position=12&pageNum=0&refId=Dry3jDmhugynDoyuekeN5w%3D%3D&trackingId=etEclW95anZqhaHs6jqceA%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4314610126?position=16&pageNum=0&refId=Dry3jDmhugynDoyuekeN5w%3D%3D&trackingId=M3Q0IpFrMlKev9Xs0B2iGg%3D%3D,LinkedIn
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4313916535?position=47&pageNum=0&refId=Dry3jDmhugynDoyuekeN5w%3D%3D&trackingId=xHM95RNXbJDH%2BDTI0j4PeQ%3D%3D,LinkedIn
