title,company,location,salary,date_posted,job_link,source
High School: Mandarin Teacher (Delphi area),Kreyco,"Conshohocken, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367176580?position=1&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=OnF6vDSRdBk8%2BqzDqNAwrQ%3D%3D,LinkedIn
High School: Mandarin Teacher (Delphi area),Kreyco,"Plymouth Meeting, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367186492?position=2&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=TD8%2BaR6%2FFd8wfD6v800KGA%3D%3D,LinkedIn
High School: Mandarin Teacher (Delphi area),Kreyco,"Lansdale, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367188537?position=3&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=VE2z%2Bplk79WEiGal%2F%2Fp2FA%3D%3D,LinkedIn
High School: Mandarin Teacher (Delphi area),Kreyco,"King of Prussia, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367188534?position=4&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=5JsSFdHG3PPXcx5%2BB6DABA%3D%3D,LinkedIn
High School: Mandarin Teacher (Delphi area),Kreyco,"Trappe, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367179522?position=5&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=00HVonEV3cXNITBQH77enQ%3D%3D,LinkedIn
High School: Mandarin Teacher (Delphi area),Kreyco,"Neiffer, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-delphi-area-at-kreyco-4367193491?position=6&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=cnGhuAnLfX3kfZV%2B7L%2BIiA%3D%3D,LinkedIn
Middle School Mandarin Chinese Long-Term Sub Teacher,Lakeside School,"Seattle, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-mandarin-chinese-long-term-sub-teacher-at-lakeside-school-4368289063?position=13&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=9%2FZrwmpFhswtKV8ri%2FL5ng%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4330400705?position=15&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=KcTJYxhw1VxR1jjD654USg%3D%3D,LinkedIn
"Part-Time Language Teachers (Chinese)
Job ID : 270659",Urban Resilience Hub by UN-Habitat's CRGP,"New York, United States",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/part-time-language-teachers-chinese-%0Ajob-id-270659-at-urban-resilience-hub-by-un-habitat-s-crgp-4367617613?position=16&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=s3EvFubK8gCcwn5GJHMHFw%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4326583781?position=17&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=dwLyK67b7PrPWFC5oYAO2A%3D%3D,LinkedIn
Upper School Mandarin Teacher,Hillbrook School,"San Jose, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-mandarin-teacher-at-hillbrook-school-4360006275?position=22&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=a2S2j1BPCVX0N9HM70Lphw%3D%3D,LinkedIn
Lower or Upper School Mandarin Teacher,"Carney, Sandoe & Associates",San Francisco Bay Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lower-or-upper-school-mandarin-teacher-at-carney-sandoe-associates-4368293099?position=24&pageNum=0&refId=llaTABUayv3fLDCoscSDpQ%3D%3D&trackingId=soNzBwKJ%2FNBF158QaERTOw%3D%3D,LinkedIn
