title,company,location,salary,date_posted,job_link,source
Mandarin Teacher - Early Childhood Education,The Learning Experience`,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-early-childhood-education-at-the-learning-experience-4445594586?position=2&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=YEVS7fGR3FIjwI7hOfoWpA%3D%3D,LinkedIn
Bilingual Teacher (Mandarin),Chicago Public Schools,"Chicago, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-teacher-mandarin-at-chicago-public-schools-4449154912?position=3&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=KQlGfa%2FmR95tsQjFZYs78w%3D%3D,LinkedIn
Mandarin Teacher,BASIS Ed,Greater Phoenix Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-basis-ed-4450674801?position=4&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=a0fLKzFSznxkh4Lwete2rw%3D%3D,LinkedIn
Teacher - 2026-2027 - Dual: Social Science AND Mandarin - Black Mountain Middle School,Poway Unified School District,"Poway, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-2026-2027-dual-social-science-and-mandarin-black-mountain-middle-school-at-poway-unified-school-district-4447710508?position=5&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=1bSoSP0r7VKtnd%2BZCmDgaQ%3D%3D,LinkedIn
AI Tutor - Chinese,SpaceXAI,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/ai-tutor-chinese-at-spacexai-4430106532?position=8&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=x4SfrIAUtbTQNWnCPYeNrA%3D%3D,LinkedIn
Mandarin Elementary Teacher Eligibility Pool 2026-27 School Year,Corona-Norco Unified School District,"Corona, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-teacher-eligibility-pool-2026-27-school-year-at-corona-norco-unified-school-district-4448866594?position=10&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=393w85ohEmRjQmUAwDtymQ%3D%3D,LinkedIn
Mandarin Chinese Online Tutor for Children,PandaTree,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-online-tutor-for-children-at-pandatree-4448846749?position=30&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=lsravTYAy6vRH%2Fve6dAAHQ%3D%3D,LinkedIn
Interim Middle School Mandarin Teacher,Tower Hill School,"Wilmington, DE",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/interim-middle-school-mandarin-teacher-at-tower-hill-school-4449068796?position=31&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=4SuqcTfcWfRJeuulS03tKQ%3D%3D,LinkedIn
2026-27 8.93% Teacher Secondary-Mandarin-Lincoln Middle School,Poudre School District,"Fort Collins, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-27-8-93%25-teacher-secondary-mandarin-lincoln-middle-school-at-poudre-school-district-4447825308?position=34&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=zH%2Fsd4%2FNzp4SXxYOWxiXUQ%3D%3D,LinkedIn
"Mandarin, Chinese Teacher",JERSEY SHORE CHINESE SCHOOL,"Holmdel, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-jersey-shore-chinese-school-4449935015?position=37&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=dkTNEYvIbNQL2UFfRYc5JA%3D%3D,LinkedIn
Mandarin Chinese Tutor (Private) | TeachMe.To,TeachMe.To,"North Miami, FL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-tutor-private-teachme-to-at-teachme-to-4449328963?position=46&pageNum=0&refId=GY31aFWBtWcuAP%2FUL7UF2g%3D%3D&trackingId=YoTjoZlgAEWlXYVyE9NZdw%3D%3D,LinkedIn
