title,company,location,salary,date_posted,job_link,source
Virtual Chinese Teacher (2026-27) School year,"Proximity Learning, Inc.",United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-chinese-teacher-2026-27-school-year-at-proximity-learning-inc-4412979434?position=2&pageNum=0&refId=h1YhA5MzFw%2F8sMOTrGWsEA%3D%3D&trackingId=4mm4P6DWvI%2ByBj0uHAZEfA%3D%3D,LinkedIn
Mandarin Teacher,"Carney, Sandoe & Associates",San Francisco Bay Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-carney-sandoe-associates-4428764108?position=4&pageNum=0&refId=h1YhA5MzFw%2F8sMOTrGWsEA%3D%3D&trackingId=F7fE3Jh5KX0VCtsYt%2Fme5w%3D%3D,LinkedIn
Chinese Mandarin Language Instructor - Experienced Level (Maryland),CNSS • National Security Systems,"Fort Meade, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-language-instructor-experienced-level-maryland-at-cnss-%E2%80%A2-national-security-systems-4428841431?position=16&pageNum=0&refId=h1YhA5MzFw%2F8sMOTrGWsEA%3D%3D&trackingId=oVUfOoEdTvvUiryR85NqIA%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4430311667?position=19&pageNum=0&refId=h1YhA5MzFw%2F8sMOTrGWsEA%3D%3D&trackingId=Q0MH7%2BfWC3UElwHY9TT3fQ%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4431155880?position=44&pageNum=0&refId=h1YhA5MzFw%2F8sMOTrGWsEA%3D%3D&trackingId=dz7HhO%2F%2BRLJSRnjan1OUpQ%3D%3D,LinkedIn
