title,company,location,salary,date_posted,job_link,source
Chinese Language Instructor,CACI International Inc,"Mililani Town, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-at-caci-international-inc-4301740021?position=1&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=a38WgLntjGGWZbmdiNO0qQ%3D%3D,LinkedIn
Chinese Language Instructor,CACI International Inc,"Annapolis Junction, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-at-caci-international-inc-4301741014?position=2&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=PNo28jpbGDGwNDgQ96cjDA%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4302037283?position=3&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=P0hYVRHozMa5uvSMwQNx%2BA%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4300193151?position=6&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=sSmtmCwZqc2Xz2G9lIaWYQ%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4301931361?position=10&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=yHOzf%2BWUMi1RZ866hoFiuw%3D%3D,LinkedIn
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4299414238?position=11&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=O0DmZGH01p7LqlKrl%2FeGIg%3D%3D,LinkedIn
Mandarin Chinese Teacher (INR),Academy School District 20,"Colorado Springs, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-inr-at-academy-school-district-20-4300124180?position=18&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=5P%2BQblPKYIqceKzfgkDuuQ%3D%3D,LinkedIn
Elementary School Chinese Lead Teacher,Global Citizens Public Charter School,"Washington, DC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/elementary-school-chinese-lead-teacher-at-global-citizens-public-charter-school-4301714159?position=25&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=VM22bJEnyrfhxgYqmULB%2Fg%3D%3D,LinkedIn
Mandarin Teacher For Kids (Seattle Area),Sponge School,"Seattle, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-for-kids-seattle-area-at-sponge-school-4299647292?position=45&pageNum=0&refId=ctzv2jzT5MxmIDAJKFEVqg%3D%3D&trackingId=WtAhkmR8tfQfqLIlUkD1Rw%3D%3D,LinkedIn
