title,company,location,salary,date_posted,job_link,source
Mandarin and/or Japanese Teacher Fall 2025,Fusion Academy,"Los Gatos, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-and-or-japanese-teacher-fall-2025-at-fusion-academy-4173678610?position=1&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=uEUy5Q%2BzTuN1qHyUxds%2BLQ%3D%3D,LinkedIn
Upper School Chinese Teacher,Community School of Naples,"Naples, FL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-chinese-teacher-at-community-school-of-naples-4210005452?position=2&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=QBF04KWYaGY4%2FnR82jnfdg%3D%3D,LinkedIn
Mandarin Chinese Teacher,STAR Education,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-star-education-4208697016?position=4&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=Q%2F9UBfKSOLLXNmPU3I94RQ%3D%3D,LinkedIn
Part-time Upper School Chinese Teacher,Princeton Day School,"Princeton, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/part-time-upper-school-chinese-teacher-at-princeton-day-school-4211010749?position=5&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=dO%2FIhBuggjZqr1PgtC2Uzw%3D%3D,LinkedIn
Part-Time Chinese Language Instructor,Global Mandarin Academy,Washington DC-Baltimore Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/part-time-chinese-language-instructor-at-global-mandarin-academy-4208511554?position=6&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=7JfGs4ZjCJUOeyAoZheM0w%3D%3D,LinkedIn
Mandarin Teacher,Fusion Academy,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-fusion-academy-4114650097?position=7&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=Kb5lhwPcaWz0hzLzFUpVEA%3D%3D,LinkedIn
Middle School Chinese Teacher (grades 5-8),The Packer Collegiate Institute,"Brooklyn, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-chinese-teacher-grades-5-8-at-the-packer-collegiate-institute-4208235482?position=8&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=4ejTMX9KlSf07YuFcNvzuw%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Midlothian, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4211121080?position=13&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=cm1%2F3tLOgDb9EOelIGJQQA%3D%3D,LinkedIn
Mandarin Teacher for World Language,Oyster River Cooperative School District,"Durham, NH",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-for-world-language-at-oyster-river-cooperative-school-district-4211908160?position=16&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=jnhr6RwYlijiFxd6a23EBg%3D%3D,LinkedIn
"Mandarin Teacher (Grades 6-12, Part-time)",Brooklyn Friends School,"Brooklyn, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-grades-6-12-part-time-at-brooklyn-friends-school-4211764610?position=17&pageNum=0&refId=lyA1qpyMDJY0q0RjTktssA%3D%3D&trackingId=WqzIeRV%2FwdnRmm1FbWPICQ%3D%3D,LinkedIn
