title,company,location,salary,date_posted,job_link,source
Upper School Advanced Chinese Language Teacher,Mounds Park Academy,"Minneapolis–Saint Paul, WI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-advanced-chinese-language-teacher-at-mounds-park-academy-4201329174?position=1&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=ejF%2F13MGmLA13G8oCeCejA%3D%3D,LinkedIn
Full-Time Lead Toddler and Pre-K Native Chinese Teacher. ???????????????,The Quadrilingual Academy,"Smyrna, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/full-time-lead-toddler-and-pre-k-native-chinese-teacher-%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F-at-the-quadrilingual-academy-4204793998?position=2&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=gcT04nAhqpgzt1u1nBuiGQ%3D%3D,LinkedIn
Mandarin Chinese Teacher (0.4 FTE),Arlington Public Schools (MA),"Arlington, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-0-4-fte-at-arlington-public-schools-ma-4196847454?position=3&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=R%2B0b6e4CCfrvXZm%2FkB8WQQ%3D%3D,LinkedIn
Substitute Chinese Teacher,Albuquerque Academy,"Albuquerque, NM",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/substitute-chinese-teacher-at-albuquerque-academy-4203368252?position=4&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=vKO3gdP%2BqX%2FB0qcoU2iG5A%3D%3D,LinkedIn
Assistant Mandarin Teacher,Acquire4Hire,"Phoenix, AZ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-mandarin-teacher-at-acquire4hire-4204789973?position=6&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=ixGMHDk%2FqelgAQjCGRAsqA%3D%3D,LinkedIn
"Mandarin Teacher in Greenwich, Connecticut",Amore Learning,"Greenwich, CT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-in-greenwich-connecticut-at-amore-learning-4205345376?position=8&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=DqH6mFqmW%2BCt8HNXaPhkkg%3D%3D,LinkedIn
2025/2026 - Mandarin Immersion Teachers & Interns,Fremont Unified School District,"Fremont, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-2026-mandarin-immersion-teachers-interns-at-fremont-unified-school-district-4204707610?position=9&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=%2B4ejUxlPoxeLtaanJaiwag%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4203543973?position=11&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=gSGKib%2FSFKiSPV3CQTzGSQ%3D%3D,LinkedIn
Mandarin Teacher,Fusion Academy,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-fusion-academy-4114650097?position=13&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=zWUkk4%2Bq%2Bg%2BuH5GlXvD0RA%3D%3D,LinkedIn
Upper School Mandarin Teacher,Alcuin School,"Dallas, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-mandarin-teacher-at-alcuin-school-4205244930?position=15&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=EbJZ2T4AQK3Yn7bxmgKGYw%3D%3D,LinkedIn
K-5th Mandarin Teacher,BASIS Ed,"San Antonio, Texas Metropolitan Area",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/k-5th-mandarin-teacher-at-basis-ed-4199964508?position=18&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=xZfS1uxOjzO%2FqluTz%2BT5hw%3D%3D,LinkedIn
25-26 - Memorial - Chinese (Mandarin) Teacher - 0.4 FTE (16),Madison Metropolitan School District,"Madison, WI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/25-26-memorial-chinese-mandarin-teacher-0-4-fte-16-at-madison-metropolitan-school-district-4200514611?position=24&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=rSbm6fYz2v%2BnoJRj5e7jsg%3D%3D,LinkedIn
Mandarin Chinese StarTalk On-Site Instructor,Utah State University,Salt Lake City Metropolitan Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-startalk-on-site-instructor-at-utah-state-university-4205316622?position=48&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=4rGkh32AO6LLptdJxUoPzg%3D%3D,LinkedIn
Mandarin Elementary Homeroom Teachers,Presidio Knolls School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-homeroom-teachers-at-presidio-knolls-school-4198313134?position=52&pageNum=0&refId=OG0gGOnCifSvVCjoTymDxw%3D%3D&trackingId=KKp7GEeBLf5Ug6A0ZMf7xg%3D%3D,LinkedIn
