title,company,location,salary,date_posted,job_link,source
"Language Lab Instructor, Chinese",Macalester College,"St Paul, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-lab-instructor-chinese-at-macalester-college-4190788090?position=2&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=mAqgBczb1dqBDg8ghqCuDQ%3D%3D,LinkedIn
Mandarin Chinese Teacher,STAR Education,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-star-education-4185201033?position=3&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=LPuyp6onm5UyE1%2F2VP%2BvDg%3D%3D,LinkedIn
Chinese Language Teacher 2024-2025 (Program Staff) (Residential)(Applicants must live in the United States),Concordia College,"Moorhead, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-2024-2025-program-staff-residential-applicants-must-live-in-the-united-states-at-concordia-college-4190029388?position=4&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=hTY5vVD%2Fkg7E3Z0Ea7fTXg%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4186793792?position=5&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=i4yOqmdc1uS3d90%2Fy3ScZA%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4188512103?position=10&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=4B3o8BsJR5jHceHoMPw4mw%3D%3D,LinkedIn
WCCUSD West County Mandarin Substitute Teacher for 2024-2025 School Year,West Contra Costa Unified School District,"Richmond, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/wccusd-west-county-mandarin-substitute-teacher-for-2024-2025-school-year-at-west-contra-costa-unified-school-district-4188410023?position=11&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=tVyI1dKtf%2FvKfJStvKa5sw%3D%3D,LinkedIn
Chinese Teacher,The Peak School,"Frisco, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-at-the-peak-school-4191267560?position=12&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=EPH%2BxAjZo4OoKcAH4cxvuw%3D%3D,LinkedIn
Mandarin Chinese Immersion Teacher - School Year 2025-26,Global Village Academy Collaborative,"Thornton, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-immersion-teacher-school-year-2025-26-at-global-village-academy-collaborative-4190024017?position=13&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=UtFvJwFKS%2Bmz5G%2BLxV3%2BBw%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4187796630?position=14&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=mT7EPoMGmc0cJnnzH6%2BsXQ%3D%3D,LinkedIn
Mandarin Chinese Immersion Teacher - School Year 2025-26,Global Village Academy,"Thornton, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-immersion-teacher-school-year-2025-26-at-global-village-academy-4191006646?position=15&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=TM5XHLjpZGvnsJZNAsHueg%3D%3D,LinkedIn
Upper Elementary Chinese Homeroom Teacher,Chinese American International School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-elementary-chinese-homeroom-teacher-at-chinese-american-international-school-4191015507?position=17&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=yaPDSDQzAU3Pnc3nixxAng%3D%3D,LinkedIn
Upper School Mandarin Teacher,"Convent of the Sacred Heart, 91st Street","New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-mandarin-teacher-at-convent-of-the-sacred-heart-91st-street-4183965384?position=24&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=ldl9EPwdNV%2FZl3TdWb5a3w%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4187885590?position=27&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=tdeUTNDhe%2BYrvbJSxIBBcQ%3D%3D,LinkedIn
0.6 Foreign Language Teacher-Chinese -Temporary (Control Code: 23537),Valley View School District 365U,Greater Chicago Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/0-6-foreign-language-teacher-chinese-temporary-control-code-23537-at-valley-view-school-district-365u-4184713074?position=30&pageNum=0&refId=nzp6r3c9LkRg4BnU%2FrRkyw%3D%3D&trackingId=EjT3ooigNfXSqTPBd17u4g%3D%3D,LinkedIn
