title,company,location,salary,date_posted,job_link,source
Mandarin Teacher: Middle School - Opportunities for 2025-2026,Kreyco,"South San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-middle-school-opportunities-for-2025-2026-at-kreyco-4278652081?position=1&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=5BSkfCtWUh%2BEpCgvygMDGQ%3D%3D,LinkedIn
Language Instructor - Chinese Mandarin,Cherokee Federal,"Fort Gordon, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-instructor-chinese-mandarin-at-cherokee-federal-4273781842?position=2&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=fO6RNttpkpS8jvBbNtqccw%3D%3D,LinkedIn
Mandarin Chinese Language Teacher needed - ID1060823,Language Trainers,"Riverside, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-teacher-needed-id1060823-at-language-trainers-4277849679?position=3&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=4RA6hvqFEgZbOuen%2BCT5jg%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4278949990?position=4&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=08lXArsqEhGkJqKVquD7bA%3D%3D,LinkedIn
Virtual Certified Chinese Teacher 25 - 26 School year,"Proximity Learning, Inc.",United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-proximity-learning-inc-4224502553?position=6&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=RKZwPmj6fS6O9wHQRmBw3w%3D%3D,LinkedIn
Mandarin Chinese Teacher (0.4 FTE),Arlington Public Schools (MA),"Arlington, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-0-4-fte-at-arlington-public-schools-ma-4275064011?position=7&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=UwHIDbz3QvpG2MFnvRbyEA%3D%3D,LinkedIn
Virtual Certified Chinese Teacher 25 - 26 School year,Recruitment At Proximity Learning,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-recruitment-at-proximity-learning-4235396584?position=8&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=FEyT1mzkJVHsjrrVj9eqGg%3D%3D,LinkedIn
"Mandarin Teacher: Middle School - Jersey City, NJ",Kreyco,"Jersey City, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-middle-school-jersey-city-nj-at-kreyco-4272825650?position=14&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=IKPXZWtgtHzUg09mBY9kJA%3D%3D,LinkedIn
"Foreign Language Instructor - Chinese Mandarin, Japanese, Turkish",CACI International Inc,"Fairfax, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-japanese-turkish-at-caci-international-inc-4276997160?position=15&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=Y8CEe7gCpjFdaQJfgsPJkg%3D%3D,LinkedIn
Chinese Mandarin Language Instructor,"Threat Tec, LLC","Camp Lejeune, NC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-language-instructor-at-threat-tec-llc-4273773082?position=17&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=MRQoYH8i%2Fj4oRayMx3jTqg%3D%3D,LinkedIn
Mandarin Chinese Teacher ( Elementary),International Leadership of Texas,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-elementary-at-international-leadership-of-texas-4277526758?position=18&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=vNXROTxKTMhCnCDCAlaXGA%3D%3D,LinkedIn
Vietnamese or Mandarin Teacher (25 - 26 Applicant Pool),Lycée Français de la Nouvelle-Orléans,"New Orleans, LA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/vietnamese-or-mandarin-teacher-25-26-applicant-pool-at-lyc%C3%A9e-fran%C3%A7ais-de-la-nouvelle-orl%C3%A9ans-4276876068?position=20&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=lPZgrKIUspDsBKWXILKzSA%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4275887841?position=21&pageNum=0&refId=Oux9Lnjb2K%2Ba2g6E1cvRkQ%3D%3D&trackingId=fxh2ucLCqVYDBOMM2EBQpQ%3D%3D,LinkedIn
