title,company,location,salary,date_posted,job_link,source
Mandarin Chinese Teacher,STAR Education,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-star-education-4185201033?position=1&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=Vd4vBq0KQZltUpErOMuCvw%3D%3D,LinkedIn
WCCUSD West County Mandarin Substitute Teacher for 2024-2025 School Year,West Contra Costa Unified School District,"Richmond, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/wccusd-west-county-mandarin-substitute-teacher-for-2024-2025-school-year-at-west-contra-costa-unified-school-district-4188410023?position=5&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=NCPiuZN3%2F3VlR%2BWRkfogvw%3D%3D,LinkedIn
Mandarin Teacher - 1.0 Fte - Jesse Bethel High School - 2025-2026 School Year,Vallejo City Unified School District,"Vallejo, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-1-0-fte-jesse-bethel-high-school-2025-2026-school-year-at-vallejo-city-unified-school-district-4187518055?position=7&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=w3tVBndYtWSqwshO5rLbyQ%3D%3D,LinkedIn
Upper School Mandarin Teacher,"Convent of the Sacred Heart, 91st Street","New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-mandarin-teacher-at-convent-of-the-sacred-heart-91st-street-4183965384?position=11&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=7KPaMwwnUx%2BH3xslQhVweA%3D%3D,LinkedIn
Mandarin Chinese Immersion K-7 Teacher - School Year 2025-2026,Global Village Academy Collaborative,"Parker, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-immersion-k-7-teacher-school-year-2025-2026-at-global-village-academy-collaborative-4185043488?position=12&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=jDzblR1hSuTHwYBobjejmg%3D%3D,LinkedIn
2025-2026 TK-5th Grade Mandarin Teacher,Bullis Charter School,"Los Altos, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-2026-tk-5th-grade-mandarin-teacher-at-bullis-charter-school-4186185715?position=13&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=bmukBbqqQ9En3rb3yDYTcQ%3D%3D,LinkedIn
0.6 Foreign Language Teacher-Chinese -Temporary (Control Code: 23537),Valley View School District 365U,Greater Chicago Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/0-6-foreign-language-teacher-chinese-temporary-control-code-23537-at-valley-view-school-district-365u-4184713074?position=16&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=l6LGf%2BGrLOtycEuEnPdidQ%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4187885590?position=18&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=xyc%2FahRnkndwgNmaLRNs5Q%3D%3D,LinkedIn
Mandarin Chinese Immersion Teacher - School Year 2025-26,Global Village Academy Collaborative,"Thornton, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-immersion-teacher-school-year-2025-26-at-global-village-academy-collaborative-4190024017?position=19&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=DBs7APZm1fYYDX6Al9LmaQ%3D%3D,LinkedIn
Chinese Language Instructor - Part-Time On-Call,CACI International Inc,"San Antonio, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-part-time-on-call-at-caci-international-inc-4183193167?position=22&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=0uKm%2B8dSP1b9FiU5JA2rMg%3D%3D,LinkedIn
"Teacher Foreign Language, Chinese (25-26)",Baltimore City Public Schools,"Baltimore, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-foreign-language-chinese-25-26-at-baltimore-city-public-schools-4186696126?position=28&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=a9XEI3mU%2FC%2BO%2FR6Df7uEMA%3D%3D,LinkedIn
Mandarin Teachers for ages Two months to Kindergarten,The Goddard School,"Jersey City, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teachers-for-ages-two-months-to-kindergarten-at-the-goddard-school-4183790455?position=50&pageNum=0&refId=ioK04dSNjSmdVdsoLQuNWQ%3D%3D&trackingId=9HM4Oux8sParRkbCWQlRZA%3D%3D,LinkedIn
