title,company,location,salary,date_posted,job_link,source
Mandarin Teacher - Early Childhood Education,The Learning Experience`,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-early-childhood-education-at-the-learning-experience-4445594586?position=1&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=OBNxEwK2ytfGbp0UxmKxCQ%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4446444319?position=2&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=hcU3HXv9ni1RkTANAjRAOg%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4446423640?position=3&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=DgAUrrmHCiwliLGl2seBbw%3D%3D,LinkedIn
Mandarin Immersion Social Studies Teacher (Middle School),Yinghua Academy,"Minneapolis, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-immersion-social-studies-teacher-middle-school-at-yinghua-academy-4446577134?position=4&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=hrYKzFMgdypZ3KYPLE6MKA%3D%3D,LinkedIn
Secondary Mandarin Teacher,International Leadership Charter High School,"Bronx, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/secondary-mandarin-teacher-at-international-leadership-charter-high-school-4444132754?position=5&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=xXcKLwenIkOtF56Tyv3LYQ%3D%3D,LinkedIn
Teacher - 2026-2027 - Dual: Social Science AND Mandarin - Black Mountain Middle School,Poway Unified School District,"Poway, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-2026-2027-dual-social-science-and-mandarin-black-mountain-middle-school-at-poway-unified-school-district-4447710508?position=6&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=%2BrOg7oDQ3ZTTsfxEcsQ5KA%3D%3D,LinkedIn
Temporary 3rd-5th grade Mandarin Teacher,The Carey School,"San Mateo, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/temporary-3rd-5th-grade-mandarin-teacher-at-the-carey-school-4449072343?position=7&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=utLZcxYyCqWhuhYV66kAKw%3D%3D,LinkedIn
AI Tutor - Chinese,SpaceXAI,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/ai-tutor-chinese-at-spacexai-4430106532?position=8&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=8dTaASLYmHsIOrGwfk2Sdg%3D%3D,LinkedIn
Mandarin Elementary Teacher Eligibility Pool 2026-27 School Year,Corona-Norco Unified School District,"Corona, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-teacher-eligibility-pool-2026-27-school-year-at-corona-norco-unified-school-district-4448866594?position=10&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=Kz4reNHtpG%2Bqhc1DZxCpCQ%3D%3D,LinkedIn
AI Tutor - Chinese,SpaceXAI,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/ai-tutor-chinese-at-spacexai-4430107521?position=25&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=eiWwVIcn3Gt2zTSiCxqyZw%3D%3D,LinkedIn
Mandarin Chinese Online Tutor for Children,PandaTree,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-online-tutor-for-children-at-pandatree-4448846749?position=34&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=sHoY51gWoqaGwDvdXzlugA%3D%3D,LinkedIn
Interim Middle School Mandarin Teacher,Tower Hill School,"Wilmington, DE",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/interim-middle-school-mandarin-teacher-at-tower-hill-school-4449068796?position=35&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=D%2FmrzXHkNLv73iZkNSqD%2BQ%3D%3D,LinkedIn
2026-27 8.93% Teacher Secondary-Mandarin-Lincoln Middle School,Poudre School District,"Fort Collins, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-27-8-93%25-teacher-secondary-mandarin-lincoln-middle-school-at-poudre-school-district-4447825308?position=38&pageNum=0&refId=WQgBBMfp4u%2FNe6GPjS5pOg%3D%3D&trackingId=KyO3xzDlNblXneRqJooI4A%3D%3D,LinkedIn
