title,company,location,salary,date_posted,job_link,source
Chinese Language Instructor,CACI International Inc,"Mililani Town, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-at-caci-international-inc-4339202785?position=1&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=Hty2gf9BcQK2lVAO3r6g9A%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4339829046?position=8&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=th1e7%2FLedhNvdCbyx0QRBw%3D%3D,LinkedIn
Mandarin Chinese Assistant Preschool Teacher,Shu Ren International School,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-assistant-preschool-teacher-at-shu-ren-international-school-4339372712?position=13&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=ChFWec7OyEHGGAnCzN8d9A%3D%3D,LinkedIn
Secondary Mandarin Teacher,International Leadership Charter High School,"Bronx, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/secondary-mandarin-teacher-at-international-leadership-charter-high-school-4324728400?position=19&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=JgFQmYwu0REaRMUuh9v2%2Fg%3D%3D,LinkedIn
After-school Mandarin Teacher,Manhattan Youth,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/after-school-mandarin-teacher-at-manhattan-youth-4338714338?position=34&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=%2FG4DDq0YECbuEscYvkzv8A%3D%3D,LinkedIn
Chinese Language Instructor - Part-time On-Call,CACI International Inc,"Annapolis Junction, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-part-time-on-call-at-caci-international-inc-4339063050?position=37&pageNum=0&refId=6750uvCHI7Wrm8r8e0U28Q%3D%3D&trackingId=Hz2IAwjpniKLYZHHVhnqyw%3D%3D,LinkedIn
