title,company,location,salary,date_posted,job_link,source
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Grand Prairie, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4196400585?position=1&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=u6y6z3PSPsAbUrt%2FduHS6A%3D%3D,LinkedIn
Part-Time Chinese Teacher,Albuquerque Academy,"Albuquerque, NM",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/part-time-chinese-teacher-at-albuquerque-academy-4217084451?position=2&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=4hAbknvLvGgNIVs5x0KvaA%3D%3D,LinkedIn
Upper School Mandarin Teacher,The Browning School,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-school-mandarin-teacher-at-the-browning-school-4216818125?position=4&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=am%2F%2F3Ck3ASz9zrim650ZgQ%3D%3D,LinkedIn
"Niu Valley Middle - Grade 6-8 Mandarin Teacher, 603458 (2025-00825)",Hawaiʻi State Department of Education,"Honolulu, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/niu-valley-middle-grade-6-8-mandarin-teacher-603458-2025-00825-at-hawai%CA%BBi-state-department-of-education-4216675816?position=5&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=C24LWIUmfOXQo5jiq58DJg%3D%3D,LinkedIn
[2025-2026] Middle School Chinese Teacher,Yu Ming Charter School,"Oakland, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-2026-middle-school-chinese-teacher-at-yu-ming-charter-school-4221345065?position=6&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=ctiJRgMb1Uk1XUbA71b%2Fbg%3D%3D,LinkedIn
2025-26 Chinese Teacher - Elementary,Arlington Independent School District,"Arvada, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-26-chinese-teacher-elementary-at-arlington-independent-school-district-4220838554?position=8&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=OfbGnTB7rL7Xm2I5EeplpQ%3D%3D,LinkedIn
2025-26 Chinese Teacher - Elementary,Arlington Independent School District,"Arvada, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-26-chinese-teacher-elementary-at-arlington-independent-school-district-4220842026?position=9&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=JTz9TNb3yCSC6neehF0c5Q%3D%3D,LinkedIn
Chinese Immersion 1st Grade Full Time Elementary Teacher,Davis School District,"Syracuse, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-immersion-1st-grade-full-time-elementary-teacher-at-davis-school-district-4221377303?position=18&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=sER1d6kgz1RW9PT%2FpxZtuQ%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4219301445?position=23&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=7LDKXwNV9N2kWk60ZTo5sg%3D%3D,LinkedIn
Assistant Mandarin Teacher,Acquire4Hire,"Phoenix, AZ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-mandarin-teacher-at-acquire4hire-4222117847?position=24&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=WcrrgUGdHuA8%2FFj%2F7QrzpA%3D%3D,LinkedIn
TK Dual Immersion Mandarin Teacher - West County Mandarin Elementary 25-26,West Contra Costa Unified School District,"Richmond, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/tk-dual-immersion-mandarin-teacher-west-county-mandarin-elementary-25-26-at-west-contra-costa-unified-school-district-4219336703?position=57&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=bXm7e9sRFS5RbrM%2FW0RF2w%3D%3D,LinkedIn
Middle School Chinese Teacher- Leave Replacement,Sacred Heart Greenwich,"Greenwich, CT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-chinese-teacher-leave-replacement-at-sacred-heart-greenwich-4220983011?position=58&pageNum=0&refId=v4HNnER%2FLp%2BAEzMOQnrddA%3D%3D&trackingId=ZHJ%2F91%2FAuUrza8nJVcVYEg%3D%3D,LinkedIn
