title,company,location,salary,date_posted,job_link,source
Chinese Teacher Assistant for Early Childhood,International School of Portland,"Portland, OR",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-assistant-for-early-childhood-at-international-school-of-portland-4417444795?position=4&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=%2FsAGrVMw0pBSKV0zS4OKOg%3D%3D,LinkedIn
ESL/Chinese (Grades 59) Teacher,NYC Public Schools,"Brooklyn, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/esl-chinese-grades-59-teacher-at-nyc-public-schools-4415451475?position=8&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=sB4cMvZf9PGmgucEl2h22w%3D%3D,LinkedIn
Mandarin Teacher,"Carney, Sandoe & Associates",San Francisco Bay Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-carney-sandoe-associates-4416327359?position=15&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=zYbCgxcYRwvueEXyC35KiA%3D%3D,LinkedIn
Mandarin Teacher,Fusion Academy,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-fusion-academy-4414516527?position=16&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=pxQkPXDTQVQEJyPT2Cs%2BYQ%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4416983638?position=18&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=DTlTKXcFvYAWXM7StzmQcg%3D%3D,LinkedIn
Kindergarten Chinese Lead Teacher,Chinese American International School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/kindergarten-chinese-lead-teacher-at-chinese-american-international-school-4417484299?position=36&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=FXXH%2BwHKmJLrswHCSNSlZA%3D%3D,LinkedIn
Mandarin Chinese Language teacher  ID- 1114304,Language Trainers,"Chicago, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-teacher-id-1114304-at-language-trainers-4417443099?position=50&pageNum=0&refId=kSzJS8C2btYx7aYz6TDU%2BA%3D%3D&trackingId=OazljTl04hjk4dXPzpux2A%3D%3D,LinkedIn
