title,company,location,salary,date_posted,job_link,source
"Language Lab Instructor, Chinese",Macalester College,"St Paul, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-lab-instructor-chinese-at-macalester-college-4190788090?position=2&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=prJI44cI9iVL09KAvKJ7KQ%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4187796630?position=3&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=NpgqCzkRyeA%2BM8d5Y1Q0QQ%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4186793792?position=4&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=1fQFb%2FA1nlbmGhVgcUqrMQ%3D%3D,LinkedIn
Mandarin and/or Japanese Teacher Fall 2025,Fusion Academy,"Los Gatos, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-and-or-japanese-teacher-fall-2025-at-fusion-academy-4173678610?position=5&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=IdS8Nprynsf6gq%2BVEU4VNw%3D%3D,LinkedIn
4th Grade Mandarin Chinese Teacher,Wake County Public School System,"Raleigh, NC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/4th-grade-mandarin-chinese-teacher-at-wake-county-public-school-system-4190862664?position=7&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=Y9PzWYWO%2F01sQAIZuya7yA%3D%3D,LinkedIn
Mandarin Chinese Teacher,Chaminade High School,"Mineola, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-chaminade-high-school-4194068208?position=8&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=E%2BDXiNxJVxWw%2FheOS0XoCQ%3D%3D,LinkedIn
Mandarin/Chinese Language Instructor (Summer; Part-Time),South Asian Youth Action (SAYA),"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-instructor-summer-part-time-at-south-asian-youth-action-saya-4191120938?position=9&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=xlRtirb3DXrNp%2BD6yxj58g%3D%3D,LinkedIn
Chinese Teacher,The Peak School,"Frisco, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-at-the-peak-school-4191267560?position=11&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=cIvniO53Ijbq%2Bv0feol92w%3D%3D,LinkedIn
Upper Elementary Chinese Homeroom Teacher,Chinese American International School,"San Francisco, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-elementary-chinese-homeroom-teacher-at-chinese-american-international-school-4191015507?position=14&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=64HagziwRoqdtPE6mHndIw%3D%3D,LinkedIn
Secondary Mandarin Teacher,International Leadership Charter High School,"Bronx, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/secondary-mandarin-teacher-at-international-leadership-charter-high-school-4191576503?position=16&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=Xt%2BxYrf%2FrP%2B9GEV8Ya5Iiw%3D%3D,LinkedIn
"Chinese Language Teacher, MS",Fairfax County Public Schools,"Virginia, United States",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-ms-at-fairfax-county-public-schools-4194246887?position=17&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=7s%2Fpp6FmgaEx4vrFlcpLhg%3D%3D,LinkedIn
"Chinese Language Teacher, MS",Fairfax County Public Schools,"Virginia, United States",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-ms-at-fairfax-county-public-schools-4194248800?position=18&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=Afib%2FJaNvSE4uZipRChhzw%3D%3D,LinkedIn
0.6 Foreign Language Teacher-Chinese -Temporary (Control Code: 23537),Valley View School District 365U,Greater Chicago Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/0-6-foreign-language-teacher-chinese-temporary-control-code-23537-at-valley-view-school-district-365u-4184713074?position=19&pageNum=0&refId=SpKuGOz58CSJVZQ1fJK82w%3D%3D&trackingId=3zqoDJYnevK9ZPzJtqHa0A%3D%3D,LinkedIn
