title,company,location,salary,date_posted,job_link,source
Chinese Language Teacher (Remote),Get Offers,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-remote-at-get-offers-4379598976?position=2&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=XptChotpezfDLIKGC7%2BwSA%3D%3D,LinkedIn
"World Language – Mandarin Teacher, Middle & Upper School",The Roeper School,"Birmingham, MI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/world-language-%E2%80%93-mandarin-teacher-middle-upper-school-at-the-roeper-school-4380724411?position=5&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=EJhI6we1JGmIVXcxGpAvCA%3D%3D,LinkedIn
"Teacher - Foreign Language - Chinese,(0.5 FTE) Gr 9-12 (SY26-27)",Boston Public Schools,"Boston, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-foreign-language-chinese-0-5-fte-gr-9-12-sy26-27-at-boston-public-schools-4376654302?position=9&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=3aq8u%2Bpw2Ksa0R30MC3FGw%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4330400705?position=16&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=1wZAeBiWf5sqf1FKlLu3cQ%3D%3D,LinkedIn
Mandarin Chinese Teacher (High School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4326583781?position=17&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=2gJYFC2ERNQjH1yVpMN9bA%3D%3D,LinkedIn
Lower or Upper School Mandarin Teacher,"Carney, Sandoe & Associates",San Francisco Bay Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lower-or-upper-school-mandarin-teacher-at-carney-sandoe-associates-4379444926?position=19&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=jjEwreaxWuzCVOyF9l4kug%3D%3D,LinkedIn
High School: Mandarin Teacher (Allentown area),Kreyco,"Bethlehem, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/high-school-mandarin-teacher-allentown-area-at-kreyco-4379529109?position=23&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=9%2BwBIFyD%2FBFAvzxtC9rOJw%3D%3D,LinkedIn
"Foreign Language Instructor - Chinese Mandarin, Japanese, Turkish",CACI International Inc,"Fairfax, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-japanese-turkish-at-caci-international-inc-4375953669?position=25&pageNum=0&refId=zqp8mcx2ZFWYKg7La24sug%3D%3D&trackingId=xjWtBxbwGn3tpMo%2FqNYGBg%3D%3D,LinkedIn
