title,company,location,salary,date_posted,job_link,source
Middle and Upper School Mandarin Chinese Teacher,Washington International School,"Washington, DC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-and-upper-school-mandarin-chinese-teacher-at-washington-international-school-4399167149?position=1&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=5xsBwOMXeC8eRYH3TWCmQQ%3D%3D,LinkedIn
Mandarin Chinese Teacher (26/27 SY - POOL),International Leadership of Texas,"Grand Prairie, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-26-27-sy-pool-at-international-leadership-of-texas-4397605748?position=4&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=ioYfrsdIRr4iWtbWiRoujg%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4371783906?position=5&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=oPdk5aUXsxHQOmKQSAJ%2FyA%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4371780965?position=6&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=r5YJgw224r%2Fcz5%2FXa3wp0g%3D%3D,LinkedIn
Mandarin Chinese Teacher (Pool Posting 26/27,International Leadership of Texas,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-pool-posting-26-27-at-international-leadership-of-texas-4398159585?position=8&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=IbOYeKrTu%2FpGiecCvywiuw%3D%3D,LinkedIn
Mandarin Chinese Teacher (26/27 POOL),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-26-27-pool-at-international-leadership-of-texas-4397616955?position=11&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=4iGambRt3AZy9wIF67ppMw%3D%3D,LinkedIn
2026/2027 - (.2) Chinese Language Teacher - Thornton Middle School,Fremont Unified School District,"Fremont, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-2027-2-chinese-language-teacher-thornton-middle-school-at-fremont-unified-school-district-4400902860?position=19&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=nECbFhdwk%2F0MmZTVBle5IA%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4395987716?position=25&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=qlWLe6RY9D0KVrNPFmwx1w%3D%3D,LinkedIn
Language teacher - Chinese | ID 1108541,Language Trainers,"Islip, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-teacher-chinese-id-1108541-at-language-trainers-4401367662?position=30&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=FTprjUd6atHkP%2FbIpE5EQQ%3D%3D,LinkedIn
Mandarin Teacher - Elementary 26/27,BASIS Ed,"Leander, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-elementary-26-27-at-basis-ed-4400003524?position=39&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=g9eQtHOZi97jUpTZVQaAbA%3D%3D,LinkedIn
Chinese Language Instructor - Part-Time On-Call,CACI International Inc,"San Antonio, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-part-time-on-call-at-caci-international-inc-4397938552?position=53&pageNum=0&refId=KheZ9OowPQPGPoRs1G%2BaVw%3D%3D&trackingId=MYvvTImCB6arxCCUqF5n9w%3D%3D,LinkedIn
