title,company,location,salary,date_posted,job_link,source
Virtual Certified Chinese Teacher 25 - 26 School year,"Proximity Learning, Inc.",United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-proximity-learning-inc-4224502553?position=3&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=aSLT2xMfrAhpnfEtsX8Reg%3D%3D,LinkedIn
Upper Level Chinese Teacher part-time,Notre Dame Preparatory School,"Towson, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-level-chinese-teacher-part-time-at-notre-dame-preparatory-school-4226921841?position=4&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=JvbpvOul8pxEQOPe3hzb4Q%3D%3D,LinkedIn
2025/2026 - Mandarin Immersion Teachers & Interns,Fremont Unified School District,"Fremont, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-2026-mandarin-immersion-teachers-interns-at-fremont-unified-school-district-4226625912?position=10&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=VDNMgsJ0TKj%2Be9IP0FND1A%3D%3D,LinkedIn
Chinese Teacher: Leave Replacement,WEST ORANGE PUBLIC SCHOOLS,"West Orange, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-leave-replacement-at-west-orange-public-schools-4229015317?position=11&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=SODWI0xZmShtQF%2FIIqQbfQ%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"College Station, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4228368472?position=12&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=AsHbf7rGfuC4M3NACLSA9g%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4226520424?position=13&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=XBW%2BDT8aGzb9VInPly08cA%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4229181188?position=14&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=vWKd8RJ3u8i1qBXo%2BRuW3w%3D%3D,LinkedIn
Assistant Mandarin Teacher (North Phoenix),Acquire4Hire,"Phoenix, AZ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-mandarin-teacher-north-phoenix-at-acquire4hire-4227569594?position=40&pageNum=0&refId=BIyCFVHaYlJ%2BkeUUcClzbw%3D%3D&trackingId=TxZEJm3QmYYkJUBLrEGiSQ%3D%3D,LinkedIn
