title,company,location,salary,date_posted,job_link,source
Full-Time Lead Toddler and Pre-K Native Chinese Teacher. ???????????????,The Quadrilingual Academy,"Smyrna, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/full-time-lead-toddler-and-pre-k-native-chinese-teacher-%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F%3F-at-the-quadrilingual-academy-4225907691?position=1&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=yfFwD%2FSZdKw8IxaNePl0%2FA%3D%3D,LinkedIn
Mandarin and/or Japanese Teacher Fall 2025,Fusion Academy,"Los Gatos, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-and-or-japanese-teacher-fall-2025-at-fusion-academy-4173678610?position=2&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=phWymwu6C12mkAkyj5SLaA%3D%3D,LinkedIn
Upper Level Chinese Teacher part-time,Notre Dame Preparatory School,"Towson, MD",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/upper-level-chinese-teacher-part-time-at-notre-dame-preparatory-school-4226921841?position=4&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=CKUtnFztpcjDIQKeZNt6ZA%3D%3D,LinkedIn
Arabic and Mandarin teachers/professors/instructors,Bay Language Academy,"Alameda, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/arabic-and-mandarin-teachers-professors-instructors-at-bay-language-academy-4222697296?position=5&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=AbIe4SUlqhDKRMCkj%2BKt3g%3D%3D,LinkedIn
2025/2026 - Mandarin Immersion Teachers & Interns,Fremont Unified School District,"Fremont, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2025-2026-mandarin-immersion-teachers-interns-at-fremont-unified-school-district-4226625912?position=8&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=Ck17HjgYq%2Bn3MqaiybmsfQ%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4226520424?position=11&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=L8Ll3u7uxTKINlDAmyC%2FAw%3D%3D,LinkedIn
Mandarin Teacher,Notre Dame High School,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-notre-dame-high-school-4224216776?position=14&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=e7B5cXuK78a5GoRmACthRw%3D%3D,LinkedIn
Primary School Mandarin/English PYP Teacher,Atlanta International School,"Atlanta, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/primary-school-mandarin-english-pyp-teacher-at-atlanta-international-school-4225792377?position=16&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=YFbzL15E6tx21gesViaj7w%3D%3D,LinkedIn
Summer School Mandarin Teacher 1-4 Grade,Lansing School District,"Michigan, United States",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/summer-school-mandarin-teacher-1-4-grade-at-lansing-school-district-4223673051?position=21&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=oHwu%2F065KW0ENUW%2Ba5ys8Q%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4229181188?position=28&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=wPakcH2%2FE2687BXV8mCsJg%3D%3D,LinkedIn
K-8th Grade Mandarin Teacher,Merryhill School,"Milpitas, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/k-8th-grade-mandarin-teacher-at-merryhill-school-4227731093?position=33&pageNum=0&refId=CiO1LQPOvCuuVXc9L3U6Hg%3D%3D&trackingId=VSDbGs5c2ipWJxnpZYncbw%3D%3D,LinkedIn
