title,company,location,salary,date_posted,job_link,source
Chinese Mandarin Language Instructor,"E&M Technologies, Inc.","Fayetteville, NC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-language-instructor-at-e-m-technologies-inc-4275234649?position=1&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=0l3hkABijZkmpw9HhMN0pg%3D%3D,LinkedIn
Mandarin Chinese Teacher,International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-international-leadership-of-texas-4270276371?position=2&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=5mz5p8%2Bq7pXuBNUNTbPtsg%3D%3D,LinkedIn
Chinese Teacher Assistant for Early Childhood (Part Time),International School of Portland,"Portland, OR",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-assistant-for-early-childhood-part-time-at-international-school-of-portland-4268513527?position=3&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=RQY3rnwgLrA%2FiwHQBCFyHg%3D%3D,LinkedIn
Virtual Certified Chinese Teacher 25 - 26 School year,"Proximity Learning, Inc.",United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-proximity-learning-inc-4224502553?position=4&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=ZSIRDFbfrjsbALRj2Q91Zw%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Lancaster, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4271325629?position=5&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=fTDN2v%2Bc6GPtRmpTzU4Plw%3D%3D,LinkedIn
Virtual Certified Chinese Teacher 25 - 26 School year,Recruitment At Proximity Learning,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-recruitment-at-proximity-learning-4235396584?position=6&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=9%2BINmZN86inOKdfIcJd9gw%3D%3D,LinkedIn
Mandarin Chinese Assistant Preschool Teacher,Shu Ren International School,"Berkeley, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-assistant-preschool-teacher-at-shu-ren-international-school-4269965996?position=8&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=%2Fy6L6JfIDG%2FKXuvYJg2mfw%3D%3D,LinkedIn
Mandarin Chinese Teacher ( High School),International Leadership of Texas,"Houston, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-high-school-at-international-leadership-of-texas-4271826961?position=9&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=m6%2BsQjIxpW8oUnfNxO%2BlQw%3D%3D,LinkedIn
"Foreign Languages (Chinese) Instructor, Part-Time Faculty (IVC)",South Orange County Community College District,"Mission Viejo, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-languages-chinese-instructor-part-time-faculty-ivc-at-south-orange-county-community-college-district-4270519273?position=11&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=PE6gmEedOFy4vewCyxMF0Q%3D%3D,LinkedIn
Foreign Language Instructor (Chinese) Pool-Part-Time,North Orange County Community College District,"Cypress, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-pool-part-time-at-north-orange-county-community-college-district-4236580440?position=13&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=XSjxyJjLAEin6GhWGMTPug%3D%3D,LinkedIn
Teacher - Mandarin Conversation (Saturdays Only),South Bay Chinese School,"Rolling Hills Estates, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-mandarin-conversation-saturdays-only-at-south-bay-chinese-school-4268008267?position=28&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=cvNyIpXnmo9yQ76Oe%2B56AA%3D%3D,LinkedIn
Middle School/High School Mandarin Teacher (Part-Time),The Dalton School,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-high-school-mandarin-teacher-part-time-at-the-dalton-school-4272449273?position=41&pageNum=0&refId=Y1BdPCprN5dUyC%2FJtAn7%2Fg%3D%3D&trackingId=8ozO8BCsUmv0mgJFJas8UA%3D%3D,LinkedIn
