title,company,location,salary,date_posted,job_link,source
Mandarin Chinese Teacher (26/27 SY - POOL),International Leadership of Texas,"Grand Prairie, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-26-27-sy-pool-at-international-leadership-of-texas-4397605748?position=3&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=9m8SI6fDB0a9P58ffWEz8A%3D%3D,LinkedIn
Mandarin Chinese Teacher (26/27 POOL),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-26-27-pool-at-international-leadership-of-texas-4397616955?position=5&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=5VAPWdQFvO14wnfF%2BVxvxA%3D%3D,LinkedIn
Chinese World Language Teacher - Grandview High School,Cherry Creek School District,"Aurora, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-world-language-teacher-grandview-high-school-at-cherry-creek-school-district-4394713616?position=6&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=H%2FuVNFe0nauXkYDEfrFm4g%3D%3D,LinkedIn
Mandarin Chinese Teacher - ID: 1103163,Language Trainers,"New Orleans, LA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-id-1103163-at-language-trainers-4398064451?position=11&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=zeRdGdZqKm77b2CjoVjmfA%3D%3D,LinkedIn
2026/2027 - (.2) Chinese Language Teacher - Thornton Middle School,Fremont Unified School District,"Fremont, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-2027-2-chinese-language-teacher-thornton-middle-school-at-fremont-unified-school-district-4400902860?position=12&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=9UiUokLtL%2Fl%2BolHY0ViUsA%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4395987716?position=18&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=gz%2BZ3iSlzuZYt7GL%2FMlkpw%3D%3D,LinkedIn
Mandarin Teacher Assistant - Full Time,CommuniKids Preschool and Children's Language Center,"Washington, DC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-assistant-full-time-at-communikids-preschool-and-children-s-language-center-4394459163?position=31&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=6oKIU2VOulAHJBlLzpHtxQ%3D%3D,LinkedIn
Chinese Language Instructor - Part-Time On-Call,CACI International Inc,"San Antonio, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-instructor-part-time-on-call-at-caci-international-inc-4397938552?position=48&pageNum=0&refId=c15ovCDYAYnlJmDw7YfbOw%3D%3D&trackingId=YiiOquFRpeA83WBIvB1yKQ%3D%3D,LinkedIn
