title,company,location,salary,date_posted,job_link,source
SY 26-27 Chinese Lead Teacher (Grades PK3-5th),Washington Yu Ying Public Charter School,"Washington, DC",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/sy-26-27-chinese-lead-teacher-grades-pk3-5th-at-washington-yu-ying-public-charter-school-4361150078?position=1&pageNum=0&refId=hetYa0PJIxXLgrllBq39Gw%3D%3D&trackingId=uxC3Dd%2BNouYQjtjt%2F8LxWw%3D%3D,LinkedIn
Bilingual Simplified Chinese Teacher | $30/hr Remote,Crossing Hurdles,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-simplified-chinese-teacher-%2430-hr-remote-at-crossing-hurdles-4350844188?position=2&pageNum=0&refId=hetYa0PJIxXLgrllBq39Gw%3D%3D&trackingId=%2Bt9Th1YhUuAXl21x4FmzIg%3D%3D,LinkedIn
ID: 1093468 | Chinese  Language teacher Needed in Fort Collins,Language Trainers,"Fort Collins, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/id-1093468-chinese-language-teacher-needed-in-fort-collins-at-language-trainers-4362921154?position=3&pageNum=0&refId=hetYa0PJIxXLgrllBq39Gw%3D%3D&trackingId=y4lEc6McoPmBtgd9vzMd5A%3D%3D,LinkedIn
