title,company,location,salary,date_posted,job_link,source
Mandarin Teacher - Early Childhood Education,The Learning Experience`,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-early-childhood-education-at-the-learning-experience-4445594586?position=2&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=V%2FZLDxFdtH56JadNVm%2B0Ag%3D%3D,LinkedIn
Bilingual Teacher (Mandarin),Chicago Public Schools,"Chicago, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-teacher-mandarin-at-chicago-public-schools-4449154912?position=3&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=1x6T6uO3ouqDe2%2FQN73jvg%3D%3D,LinkedIn
Mandarin Teacher,BASIS Ed,Greater Phoenix Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-basis-ed-4449944596?position=4&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=TlkEvi2EFfZWRbXFIoBTZw%3D%3D,LinkedIn
Teacher - 2026-2027 - Dual: Social Science AND Mandarin - Black Mountain Middle School,Poway Unified School District,"Poway, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-2026-2027-dual-social-science-and-mandarin-black-mountain-middle-school-at-poway-unified-school-district-4447710508?position=5&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=XReFV2o%2BNwSWr7y13y09hg%3D%3D,LinkedIn
Lead Preschool Teacher (Chinese),Purple Magpie Mandarin,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/lead-preschool-teacher-chinese-at-purple-magpie-mandarin-4444558671?position=6&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=zhsHmbKL1rb6pi9oyD%2BsWQ%3D%3D,LinkedIn
Temporary 3rd-5th grade Mandarin Teacher,The Carey School,"San Mateo, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/temporary-3rd-5th-grade-mandarin-teacher-at-the-carey-school-4449072343?position=7&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=vXrRtg1WlEldtg6Ug4Lj2w%3D%3D,LinkedIn
AI Tutor - Chinese,SpaceXAI,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/ai-tutor-chinese-at-spacexai-4430106532?position=9&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=C1q%2BNxteTo%2B3ShzuJDe%2Bcg%3D%3D,LinkedIn
Mandarin Elementary Teacher Eligibility Pool 2026-27 School Year,Corona-Norco Unified School District,"Corona, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-teacher-eligibility-pool-2026-27-school-year-at-corona-norco-unified-school-district-4448866594?position=11&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=mvkpY%2BDbwCjzWv9Uu4vmMg%3D%3D,LinkedIn
AI Tutor - Chinese,SpaceXAI,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/ai-tutor-chinese-at-spacexai-4430107521?position=24&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=uAXXrR2l%2FY%2B0Ub2efyWVbQ%3D%3D,LinkedIn
Mandarin Chinese Online Tutor for Children,PandaTree,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-online-tutor-for-children-at-pandatree-4448846749?position=31&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=ojL6UY0sydYHhBVButvx3Q%3D%3D,LinkedIn
Interim Middle School Mandarin Teacher,Tower Hill School,"Wilmington, DE",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/interim-middle-school-mandarin-teacher-at-tower-hill-school-4449068796?position=32&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=WTeHCzqnUXYKn9UlF%2FqP4Q%3D%3D,LinkedIn
2026-27 8.93% Teacher Secondary-Mandarin-Lincoln Middle School,Poudre School District,"Fort Collins, CO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/2026-27-8-93%25-teacher-secondary-mandarin-lincoln-middle-school-at-poudre-school-district-4447825308?position=35&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=MUpzbqBOJ4ZC%2FQAzr9m7GA%3D%3D,LinkedIn
"Mandarin, Chinese Teacher",JERSEY SHORE CHINESE SCHOOL,"Holmdel, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-jersey-shore-chinese-school-4449935015?position=38&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=jv0dDC1e4mrcCviRHudS2A%3D%3D,LinkedIn
Mandarin Chinese Tutor (Private) | TeachMe.To,TeachMe.To,"North Miami, FL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-tutor-private-teachme-to-at-teachme-to-4449328963?position=48&pageNum=0&refId=4%2Bm1tgHjwbGpm7YNB8h3vg%3D%3D&trackingId=nrVghFcBW5u3FhhkU%2Fj%2BlQ%3D%3D,LinkedIn
