title,company,location,salary,date_posted,job_link,source
Chinese- Mandarin Teacher/Instructor for a multilingual Language Cente,Bay Language Academy,"Alameda, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-teacher-instructor-for-a-multilingual-language-cente-at-bay-language-academy-4340469901?position=1&pageNum=0&refId=jUhiuM3yllBuW4FbLznwgQ%3D%3D&trackingId=Z27DVJtai3DfeVIDtlBYjw%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4336291188?position=5&pageNum=0&refId=jUhiuM3yllBuW4FbLznwgQ%3D%3D&trackingId=Zi7VPb60osEcyNIjGCuGww%3D%3D,LinkedIn
Children Chinese Teacher,Classover,"Queens, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/children-chinese-teacher-at-classover-4335747603?position=7&pageNum=0&refId=jUhiuM3yllBuW4FbLznwgQ%3D%3D&trackingId=xpPBRYQbtPOkKwoqz%2FVfiA%3D%3D,LinkedIn
Adjunct Chinese Foreign Language Instructor,Inside Higher Ed,"Lancaster, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/adjunct-chinese-foreign-language-instructor-at-inside-higher-ed-4336100341?position=9&pageNum=0&refId=jUhiuM3yllBuW4FbLznwgQ%3D%3D&trackingId=ncQYUzpWiFLDIGV%2FTOv5uw%3D%3D,LinkedIn
Chinese (Foreign Languages) Adjunct Instructor Applicant Pool,Inside Higher Ed,"Santa Clarita, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-foreign-languages-adjunct-instructor-applicant-pool-at-inside-higher-ed-4335803240?position=16&pageNum=0&refId=jUhiuM3yllBuW4FbLznwgQ%3D%3D&trackingId=ErEELm3n2et35EBvsqlJHg%3D%3D,LinkedIn
