title,company,location,salary,date_posted,job_link,source
Mandarin Chinese Language and Culture Teacher,Lansing School District,"Lansing, MI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-and-culture-teacher-at-lansing-school-district-4233812538?position=1&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=zZkXnVIwBuxMkgGYXCOAbg%3D%3D,LinkedIn
Mandarin Teacher (Part-Time),Liberation Academy,"College Park, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-part-time-at-liberation-academy-4233286446?position=2&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=gS0B7VuR8RGbvx5mTihsBw%3D%3D,LinkedIn
Mandarin Teacher High School,ACM Staffers,"Boston, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-high-school-at-acm-staffers-4232589493?position=3&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=AQxfHa7V8%2BIzUnccpcJ0sA%3D%3D,LinkedIn
Mandarin Chinese Language and Culture Teacher,Lansing School District,"Lansing, MI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-and-culture-teacher-at-lansing-school-district-4232608407?position=4&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=98TrNe9f4w%2B8xrhVBsJFvg%3D%3D,LinkedIn
Virtual Certified Chinese Teacher 25 - 26 School year,Recruitment At Proximity Learning,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/virtual-certified-chinese-teacher-25-26-school-year-at-recruitment-at-proximity-learning-4235396584?position=7&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=lHUMSbDYFEUaJhkqKZpKow%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Arlington, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4231452307?position=8&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=8leUBUYs2kqzi%2BG0YwbjpA%3D%3D,LinkedIn
Summer School Mandarin Teacher 1-4 Grade,Lansing School District,"Lansing, MI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/summer-school-mandarin-teacher-1-4-grade-at-lansing-school-district-4234127989?position=9&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=xRgeAAo3aAQFHB2XnH88XQ%3D%3D,LinkedIn
Chinese Mandarin Associate Language Instructor,"Threat Tec, LLC","Joint Base Lewis-McChord, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-associate-language-instructor-at-threat-tec-llc-4233068915?position=10&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=RV3CQSrhpbagy%2FMV3IHBzQ%3D%3D,LinkedIn
"Mandarin-Speaking CSL Teacher, Librarian, and Administrative Support",Silicon Valley International School,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-speaking-csl-teacher-librarian-and-administrative-support-at-silicon-valley-international-school-4233934794?position=11&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=1g3APnIcnVTH%2FNOL90TVNw%3D%3D,LinkedIn
Mandarin Chinese Teacher (Elementary),International Leadership of Texas,"North Richland Hills, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-elementary-at-international-leadership-of-texas-4233978727?position=13&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=tyRj%2F1abnR9eZR9Um7nOqQ%3D%3D,LinkedIn
Mandarin Teacher (‘25-’26 School Year),Harborlight Montessori School,"Beverly, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-%E2%80%9825-%E2%80%9926-school-year-at-harborlight-montessori-school-4234420752?position=24&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=g6MTTyQO8QsCNCORbzVh5A%3D%3D,LinkedIn
Chinese Immersion Elementary Classroom Teacher,Lakes International Language Academy,"Forest Lake, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-immersion-elementary-classroom-teacher-at-lakes-international-language-academy-4234922438?position=31&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=tUtnurHx7jo92U%2B3cKJavQ%3D%3D,LinkedIn
"Mandarin Co-Teacher, Elementary",HudsonWay Immersion School,"West New York, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-co-teacher-elementary-at-hudsonway-immersion-school-4233831677?position=33&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=y%2FclA%2FNQK%2F9cWhYOYky7iw%3D%3D,LinkedIn
Primary School Mandarin/English PYP Teacher,Atlanta International School,"Atlanta, GA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/primary-school-mandarin-english-pyp-teacher-at-atlanta-international-school-4233934662?position=42&pageNum=0&refId=vvhS41RFjMMy5eEoHntrRw%3D%3D&trackingId=gJGPXNnuYcueBzGofLr4HQ%3D%3D,LinkedIn
