title,company,location,salary,date_posted,job_link,source
21_22 Chinese Virtual Teacher,"Proximity Learning, Inc.","Austin, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/21-22-chinese-virtual-teacher-at-proximity-learning-inc-4451368345?position=1&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=8HXocYHk2CIKZDqwnYFT%2Bg%3D%3D,LinkedIn
Bilingual Teacher (Mandarin),Chicago Public Schools,"Chicago, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-teacher-mandarin-at-chicago-public-schools-4449154912?position=3&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=SsTv2ff8Ojar2fHqKSosMA%3D%3D,LinkedIn
"Chinese Teacher, 2026-27 School Year",Pittsburgh Public Schools,"Pittsburgh, PA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-2026-27-school-year-at-pittsburgh-public-schools-4450922050?position=4&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=l626nHs1d655kffbYk1bGw%3D%3D,LinkedIn
Mandarin Teacher,BASIS Ed,Greater Phoenix Area,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-basis-ed-4451369829?position=5&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=Y4mybP3MXA%2BgPF8rYcL7XQ%3D%3D,LinkedIn
Mandarin Elementary Teacher Eligibility Pool 2026-27 School Year,Corona-Norco Unified School District,"Corona, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-elementary-teacher-eligibility-pool-2026-27-school-year-at-corona-norco-unified-school-district-4448866594?position=9&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=W%2Fe8s8bEqvXAO0LzM%2FsAvA%3D%3D,LinkedIn
Education Sales Consultant - Mandarin Speaking,Crimson Education,United States,Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/education-sales-consultant-mandarin-speaking-at-crimson-education-4450944811?position=21&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=ZlhacLotVI9HxuK4xUaTKQ%3D%3D,LinkedIn
Mandarin Chinese Online Tutor for Children,PandaTree,"Palo Alto, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-online-tutor-for-children-at-pandatree-4448846749?position=28&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=3GTNwJTJeOYP6yJMSEmKkQ%3D%3D,LinkedIn
Interim Middle School Mandarin Teacher,Tower Hill School,"Wilmington, DE",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/interim-middle-school-mandarin-teacher-at-tower-hill-school-4449068796?position=29&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=wHQZqdJ7NN24fzupgdoJLg%3D%3D,LinkedIn
"Mandarin, Chinese Teacher",JERSEY SHORE CHINESE SCHOOL,"Holmdel, NJ",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-at-jersey-shore-chinese-school-4449935015?position=35&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=9mZKL5LQuOc1lh1eul55Sg%3D%3D,LinkedIn
Mandarin Chinese Tutor (Private) | TeachMe.To,TeachMe.To,"North Miami, FL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-tutor-private-teachme-to-at-teachme-to-4449328963?position=42&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=NPxniqEjuewZ%2BXBMwxE9OA%3D%3D,LinkedIn
Mandarin Chinese Instructor Opportunities,Concorde Education,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-instructor-opportunities-at-concorde-education-4450090525?position=53&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=irQlN0tutXMUH2apJMIQLQ%3D%3D,LinkedIn
Mandarin Chinese Instructor Opportunities,Concorde Education,"Burlingame, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-instructor-opportunities-at-concorde-education-4450099325?position=60&pageNum=0&refId=OIXjd1Lc56iFl2QPWv9YfQ%3D%3D&trackingId=X6dvOlyopTu43R%2F2JVlhWQ%3D%3D,LinkedIn
